placa,hora_ingreso,hora_salida,peso_deposito,razon_social,municipio,tipo_residuo,tiempo_operacion_min
ODT904,2021-04-23 13:50:53,2021-04-23 14:18:09,5390,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,27.266666666666666
ODT904,2021-04-27 13:36:21,2021-04-27 14:09:09,3240,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,32.8
ODT904,2021-04-30 14:00:12,2021-04-30 14:25:45,5460,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,25.55
ODT904,2021-05-05 09:20:28,2021-05-05 09:49:40,5860,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,29.2
ODT904,2021-05-07 15:35:10,2021-05-07 15:55:57,5880,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,20.783333333333335
ODT904,2021-05-12 08:59:19,2021-05-12 09:44:57,2780,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,45.63333333333333
ODT904,2021-05-14 12:06:12,2021-05-14 13:11:28,4420,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,65.26666666666667
ODT904,2021-05-14 22:24:03,2021-05-14 22:50:15,2850,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,26.2
ODT904,2021-05-18 18:31:19,2021-05-18 19:02:04,6150,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,30.75
ODT904,2021-05-22 09:02:46,2021-05-22 09:27:19,6000,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,24.55
ODT904,2021-05-26 10:21:28,2021-05-26 10:48:11,2850,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,26.716666666666665
ODT904,2021-05-28 15:05:03,2021-05-28 16:05:29,5430,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,60.43333333333333
